key_brandxpdt;brand;product_name_SEMANTIWEB;categorie_interne;sous_categorie_interne;photo
CAUDALIEpremier cru - serum;CAUDALIE;premier cru - serum;Face Care;Face Care : Anti-Aging;non
L'ORÉAL PARISrevitalift laser - tri peptides serum;L'ORÉAL PARIS;revitalift laser - tri peptides serum;Face Care;Face Care : Anti-Aging;non
NUXEvery rose - soothing cleansing gel;NUXE;very rose - soothing cleansing gel;Face Care;Face Care : Cleansers & make-up removers;non
NUXEhair prodigieux - intensive repair hair mask;NUXE;hair prodigieux - intensive repair hair mask;Hair Care;Hair Care : Dry Hair;non
CAUDALIEvinosun - lightweight cream spf 50;CAUDALIE;vinosun - lightweight cream spf 50;Sun Care;Sun Care : Sun protection;non
CAUDALIEvinopure - blemish control salicylic serum;CAUDALIE;vinopure - blemish control salicylic serum;Face Care;Face Care : Acne Treatments;non
CAUDALIEresveratrol lift - firming cashmere day cream;CAUDALIE;resveratrol lift - firming cashmere day cream;Face Care;Face Care : Anti-Aging;non
CAUDALIEvinoperfect - brightening dark spot serum;CAUDALIE;vinoperfect - brightening dark spot serum;Face Care;Face Care : Depigmentation;non
NUXEhuile prodigieuse or florale - dry oil;NUXE;huile prodigieuse or florale - dry oil;Body Care;Body Care : Body Moisturizer;non
KERASTASEnutritive - 8h magic night serum;KERASTASE;nutritive - 8h magic night serum;Hair Care;Hair Care : Dry Hair;non
CAUDALIEresveratrol lift - firming night cream;CAUDALIE;resveratrol lift - firming night cream;Face Care;Face Care : Anti-Aging;non
CAUDALIEresveratrol lift - instant firming serum;CAUDALIE;resveratrol lift - instant firming serum;Face Care;Face Care : Anti-Aging;non
KERASTASEgenesis - anti hair fall fortifying serum;KERASTASE;genesis - anti hair fall fortifying serum;Hair Care;Hair Care : Anti Hair Loss;non
CAUDALIEvinoclean - instant foaming cleanser;CAUDALIE;vinoclean - instant foaming cleanser;Face Care;Face Care : Cleansers & make-up removers;non
NUXEzinc power - mattifying fluid pore minimizer;NUXE;zinc power - mattifying fluid pore minimizer;Face Care;Face Care : Acne Treatments;non
CAUDALIEpremier cru - rich face cream;CAUDALIE;premier cru - rich face cream;Face Care;Face Care : Anti-Aging;non
L'ORÉAL PARISelsève fiber booster - serum;L'ORÉAL PARIS;elsève fiber booster - serum;GMS;GMS : Hair Care;non
CAUDALIEvinosun - self tan sun drops;CAUDALIE;vinosun - self tan sun drops;Sun Care;Sun Care : Sun protection;non
LA ROCHE POSAYmela b3 - anti dark spots serum;LA ROCHE POSAY;mela b3 - anti dark spots serum;Face Care;Face Care : Depigmentation;non
CAUDALIEvinoclean - makeup removing cleansing oil;CAUDALIE;vinoclean - makeup removing cleansing oil;Face Care;Face Care : Cleansers & make-up removers;non
CAUDALIEvinopure - moisturizing mattifying fluid;CAUDALIE;vinopure - moisturizing mattifying fluid;Face Care;Face Care : Acne Treatments;non
CAUDALIEpremier cru - face cream;CAUDALIE;premier cru - face cream;Face Care;Face Care : Anti-Aging;non
KERASTASEgloss absolu - glaze drops - high shine hair oil;KERASTASE;gloss absolu - glaze drops - high shine hair oil;Hair Care;Hair Care : Normal Hair;non
SOL DE JANEIROspritz the season - set;SOL DE JANEIRO;spritz the season - set;Other;Other : Fragrances;non
L'ORÉAL PARISextensionist telescopic - mascara;L'ORÉAL PARIS;extensionist telescopic - mascara;Make-up;Make-up : Eyes;non
CAUDALIEpremier cru - eye cream;CAUDALIE;premier cru - eye cream;Face Care;Face Care : Anti-Aging;non
CAUDALIEvinohydra - hyaluronic serum;CAUDALIE;vinohydra - hyaluronic serum;Face Care;Face Care : Moisturisers;non
CAUDALIEvinoperfect - brightening eye cream;CAUDALIE;vinoperfect - brightening eye cream;Face Care;Face Care : Depigmentation;non
CAUDALIEvinosculpt - lift & firm body cream;CAUDALIE;vinosculpt - lift & firm body cream;Body Care;Body Care : Firming care;non
CAUDALIEresveratrol lift - firming eye gel cream;CAUDALIE;resveratrol lift - firming eye gel cream;Face Care;Face Care : Anti-Aging;non
CAUDALIEvinohydra - deep hydration moisturizer;CAUDALIE;vinohydra - deep hydration moisturizer;Face Care;Face Care : Moisturisers;non
CAUDALIEvinotherapist - lip conditioner;CAUDALIE;vinotherapist - lip conditioner;Lips / Hands Care;Lips / Hands : Lip care;non
CAUDALIEvinergetic c plus - instant detox mask;CAUDALIE;vinergetic c plus - instant detox mask;Face Care;Face Care : Moisturisers;non
CAUDALIEvinopure - salicylic spot solution;CAUDALIE;vinopure - salicylic spot solution;Face Care;Face Care : Acne Treatments;non
SOL DE JANEIRObum bum - set;SOL DE JANEIRO;bum bum - set;Body Care;Body Care : Firming care;non
CAUDALIEvinocrush - skin tint;CAUDALIE;vinocrush - skin tint;Make-up;Make-up : Face;non
CAUDALIEvinoperfect - concentrated brightening essence;CAUDALIE;vinoperfect - concentrated brightening essence;Face Care;Face Care : Depigmentation;non
CERAVEinvisible - dry touch fluid spf 50;CERAVE;invisible - dry touch fluid spf 50;Sun Care;Sun Care : Sun protection;non
CERAVEinvisible - hydrating fluid spf 50;CERAVE;invisible - hydrating fluid spf 50;Sun Care;Sun Care : Sun protection;non
SOL DE JANEIROcheirosa 40 bom dia - perfume mist;SOL DE JANEIRO;cheirosa 40 bom dia - perfume mist;Other;Other : Fragrances;non
L'ORÉAL PARIScolor riche - blurred matte lipstick;L'ORÉAL PARIS;color riche - blurred matte lipstick;Make-up;Make-up : Lips;non
CERAVEinvisible - sunscreen stick spf 50;CERAVE;invisible - sunscreen stick spf 50;Sun Care;Sun Care : Sun protection;non
CERAVEinvisible - hydrating lotion spf 50;CERAVE;invisible - hydrating lotion spf 50;Sun Care;Sun Care : Sun protection;non
LA ROCHE POSAYanthelios uv air - serum sunscreen spf 50;LA ROCHE POSAY;anthelios uv air - serum sunscreen spf 50;Sun Care;Sun Care : Sun protection;non
CERAVEinvisible - hydrating lotion spf 30;CERAVE;invisible - hydrating lotion spf 30;Sun Care;Sun Care : Sun protection;non
SOL DE JANEIROcheirosa 59 delicia drench - perfume mist;SOL DE JANEIRO;cheirosa 59 delicia drench - perfume mist;Other;Other : Fragrances;non
CAUDALIEvinofresh - deo;CAUDALIE;vinofresh - deo;Body Hygiene;Body Hygiene : Deodorants;non
CAUDALIEvinoclean - moisturizing toner;CAUDALIE;vinoclean - moisturizing toner;Face Care;Face Care : Cleansers & make-up removers;non
CAUDALIEvinotherapist - hand and nail cream;CAUDALIE;vinotherapist - hand and nail cream;Lips / Hands Care;Lips / Hands : Hand care;non
KERASTASEnutritive - nutri-supplement - split ends serum;KERASTASE;nutritive - nutri-supplement - split ends serum;Hair Care;Hair Care : Dry Hair;non
LA ROCHE POSAYeffaclar - ultra concentrated serum;LA ROCHE POSAY;effaclar - ultra concentrated serum;Face Care;Face Care : Acne Treatments;non
SOL DE JANEIRObeija flor - set;SOL DE JANEIRO;beija flor - set;Body Care;Body Care : Firming care;non
KERASTASEelixir ultime - l'huile originale;KERASTASE;elixir ultime - l'huile originale;Hair Care;Hair Care : Dry Hair;non
LA ROCHE POSAYeffaclar - duo (plus) m;LA ROCHE POSAY;effaclar - duo (plus) m;Face Care;Face Care : Acne Treatments;non
CAUDALIEbeauty elixir;CAUDALIE;beauty elixir;Face Care;Face Care : Anti-Aging;non
SOL DE JANEIROcheirosa 48 - perfume mist;SOL DE JANEIRO;cheirosa 48 - perfume mist;Other;Other : Fragrances;non
KERASTASEblond absolu - bain lumière - hydrating illuminating shampoo;KERASTASE;blond absolu - bain lumière - hydrating illuminating shampoo;Hair Care;Hair Care : Damaged Hair;non
CAUDALIEvinoclean - deep cleansing exfoliator;CAUDALIE;vinoclean - deep cleansing exfoliator;Face Care;Face Care : Cleansers & make-up removers;non
L'ORÉAL PROFESSIONNELkeratin alpha sleek - smoothing treatment;L'ORÉAL PROFESSIONNEL;keratin alpha sleek - smoothing treatment;Hair Care;Hair Care : Damaged Hair;non
NEUTROGENAultra sheer - invisible cream sunscreen spf 50;NEUTROGENA;ultra sheer - invisible cream sunscreen spf 50;Sun Care;Sun Care : Sun protection;non
CAUDALIEvinohydra - sorbet cream moisturizer;CAUDALIE;vinohydra - sorbet cream moisturizer;Face Care;Face Care : Moisturisers;non
LA ROCHE POSAYhydraphase ha - light moisturizer;LA ROCHE POSAY;hydraphase ha - light moisturizer;Face Care;Face Care : Moisturisers;non
L'ORÉAL PARISmagic retouch - root concealer spray;L'ORÉAL PARIS;magic retouch - root concealer spray;GMS;GMS : Skin Care;non
KERASTASEnutritive - masquintense thin hair;KERASTASE;nutritive - masquintense thin hair;Hair Care;Hair Care : Dry Hair;non
LA ROCHE POSAYhydraphase ha - rich moisturizer;LA ROCHE POSAY;hydraphase ha - rich moisturizer;Face Care;Face Care : Moisturisers;non
CAUDALIEvinosun - invisible spray spf 50;CAUDALIE;vinosun - invisible spray spf 50;Sun Care;Sun Care : Sun protection;non
CAUDALIEvinopure - purifying toner;CAUDALIE;vinopure - purifying toner;Face Care;Face Care : Acne Treatments;non
SOL DE JANEIROcheirosa 68 - perfume mist;SOL DE JANEIRO;cheirosa 68 - perfume mist;Other;Other : Fragrances;non
CAUDALIEthé des vignes - shower gel;CAUDALIE;thé des vignes - shower gel;Body Hygiene;Body Hygiene : Syndets;non
CAUDALIEvinoperfect - instant brightening moisturizer;CAUDALIE;vinoperfect - instant brightening moisturizer;Face Care;Face Care : Depigmentation;non
EUCERINatopicontrol - hydro gel cream;EUCERIN;atopicontrol - hydro gel cream;Body Care;Body Care : Body Moisturizer;non
GARNIERpure active - salicylic cleansing gel;GARNIER;pure active - salicylic cleansing gel;Face Care;Face Care : Acne Treatments;non
L'ORÉAL PARISelsève - extraordinary oil - serum;L'ORÉAL PARIS;elsève - extraordinary oil - serum;GMS;GMS : Hair Care;non
CAUDALIEvinosource hydra - moisturizing mask;CAUDALIE;vinosource hydra - moisturizing mask;Face Care;Face Care : Moisturisers;non
MOROCCAN OILhydration - all in one leave-in conditioner;MOROCCAN OIL;hydration - all in one leave-in conditioner;Hair Care;Hair Care : Dry Hair;non
CAUDALIEvinosun protect - stick spf 50;CAUDALIE;vinosun protect - stick spf 50;Sun Care;Sun Care : Sun protection;non
KERASTASEgenesis - défense thermique - anti hair fall fortifying fluid;KERASTASE;genesis - défense thermique - anti hair fall fortifying fluid;Hair Care;Hair Care : Anti Hair Loss;non
SOL DE JANEIROcheirosa 71 - perfume mist;SOL DE JANEIRO;cheirosa 71 - perfume mist;Other;Other : Fragrances;non
NEUTROGENAhydro boost - water gel moisturiser;NEUTROGENA;hydro boost - water gel moisturiser;Face Care;Face Care : Moisturisers;non
CAUDALIEvinoclean - grape water;CAUDALIE;vinoclean - grape water;Face Care;Face Care : Cleansers & make-up removers;non
OLAPLEXno.7 - bonding oil;OLAPLEX;no.7 - bonding oil;Hair Care;Hair Care : Damaged Hair;non
CAUDALIEvinosource hydra - grape water gel moisturizer;CAUDALIE;vinosource hydra - grape water gel moisturizer;Face Care;Face Care : Moisturisers;non
CAUDALIEvinohydra - moisturizing cleansing gel;CAUDALIE;vinohydra - moisturizing cleansing gel;Face Care;Face Care : Cleansers & make-up removers;non
KERASTASEgenesis - hydra fortifiant - anti hair fall fortifying shampoo;KERASTASE;genesis - hydra fortifiant - anti hair fall fortifying shampoo;Hair Care;Hair Care : Anti Hair Loss;non
CAUDALIEvinoperfect - dark spot correcting glycolic night cream;CAUDALIE;vinoperfect - dark spot correcting glycolic night cream;Face Care;Face Care : Depigmentation;non
L'ORÉAL PARISelsève - extraordinary oil jojoba - hair oil;L'ORÉAL PARIS;elsève - extraordinary oil jojoba - hair oil;GMS;GMS : Hair Care;non
CAUDALIEsoleil des vignes - oil elixir;CAUDALIE;soleil des vignes - oil elixir;Body Care;Body Care : Body Moisturizer;non
CAUDALIEvinosculpt - crushed cabernet scrub;CAUDALIE;vinosculpt - crushed cabernet scrub;Body Care;Body Care : Scrubs;non
CAUDALIEvinoclean - gentle scrub cream;CAUDALIE;vinoclean - gentle scrub cream;Face Care;Face Care : Cleansers & make-up removers;non
KERASTASEgenesis - masque reconstituant;KERASTASE;genesis - masque reconstituant;Hair Care;Hair Care : Anti Hair Loss;non
CAUDALIEvinoperfect - glycolic peel mask;CAUDALIE;vinoperfect - glycolic peel mask;Face Care;Face Care : Depigmentation;non
CAUDALIEvinosun - high protection glow oil spf 50;CAUDALIE;vinosun - high protection glow oil spf 50;Sun Care;Sun Care : Sun protection;non
KERASTASEblond absolu - cicaflash - intense fortifying treatment;KERASTASE;blond absolu - cicaflash - intense fortifying treatment;Hair Care;Hair Care : Damaged Hair;non
CAUDALIEthé des vignes - fresh fragrance;CAUDALIE;thé des vignes - fresh fragrance;Other;Other : Fragrances;non
CAUDALIEvinotherapist - replenishing vegan body butter;CAUDALIE;vinotherapist - replenishing vegan body butter;Body Care;Body Care : Body Moisturizer;non
KERASTASEspecifique - bain divalent - balancing shampoo;KERASTASE;specifique - bain divalent - balancing shampoo;Marques coiffeurs;Coif : Hair Care;non
VICHYmineral 89 - fortifying and plumping daily booster;VICHY;mineral 89 - fortifying and plumping daily booster;Face Care;Face Care : Anti-Aging;non
OLAPLEXno.4 bond maintenance - shampoo;OLAPLEX;no.4 bond maintenance - shampoo;Hair Care;Hair Care : Damaged Hair;non
GARNIERskin active - vitamin c 3.5% anti dark spot serum;GARNIER;skin active - vitamin c 3.5% anti dark spot serum;Face Care;Face Care : Depigmentation;non
KLORANEprickly pear - quenching serum;KLORANE;prickly pear - quenching serum;Hair Care;Hair Care : Dry Hair;oui
VICHYdercos collagen filler 17 - ultra repairing treatment;VICHY;dercos collagen filler 17 - ultra repairing treatment;Hair Care;Hair Care : Anti Hair Loss;non
KERASTASEgenesis - nutri fortifiant - anti hair fall fortifying shampoo;KERASTASE;genesis - nutri fortifiant - anti hair fall fortifying shampoo;Hair Care;Hair Care : Anti Hair Loss;non
CAUDALIEvinoperfect - set;CAUDALIE;vinoperfect - set;Face Care;Face Care : Depigmentation;non
KERASTASEgloss absolu - bain hydra-glaze - hydra illuminating shampoo;KERASTASE;gloss absolu - bain hydra-glaze - hydra illuminating shampoo;Hair Care;Hair Care : Normal Hair;non
L'ORÉAL PARIShyaluron tint - lip stain serum;L'ORÉAL PARIS;hyaluron tint - lip stain serum;Make-up;Make-up : Lips;non
VICHYdercos collagen filler 17 - ultra repairing shampoo;VICHY;dercos collagen filler 17 - ultra repairing shampoo;Hair Care;Hair Care : Anti Hair Loss;non
CAUDALIEvinotherapist - tinted lip balm;CAUDALIE;vinotherapist - tinted lip balm;Lips / Hands Care;Lips / Hands : Lip care;non
SOL DE JANEIRObrazilian bum bum - set;SOL DE JANEIRO;brazilian bum bum - set;Hair Care;Hair Care : Normal Hair;non
KERASTASEnutritive - masquintense thick hair;KERASTASE;nutritive - masquintense thick hair;Hair Care;Hair Care : Dry Hair;non
NUXEhair prodigieux - leave in cream;NUXE;hair prodigieux - leave in cream;Hair Care;Hair Care : Dry Hair;non
VICHYliftactiv collagen specialist 16 - eye care;VICHY;liftactiv collagen specialist 16 - eye care;Face Care;Face Care : Anti-Aging;non
VICHYmineral 89 - 48h moisture matte sorbet;VICHY;mineral 89 - 48h moisture matte sorbet;Face Care;Face Care : Moisturisers;non
ADERMAexomega control - emollient shower oil;ADERMA;exomega control - emollient shower oil;Body Hygiene;Body Hygiene : Syndets;non
VICHYmineral 89 - 72h moisture boosting cream fresh;VICHY;mineral 89 - 72h moisture boosting cream fresh;Face Care;Face Care : Anti-Aging;non
CAUDALIEsmooth & glow - oil elixir;CAUDALIE;smooth & glow - oil elixir;Body Care;Body Care : Body Moisturizer;non
L'ORÉAL PARISelsève - glycolic gloss - conditioner;L'ORÉAL PARIS;elsève - glycolic gloss - conditioner;Hair Care;Hair Care : Normal Hair;non
NUXEsuper serum 10 - the universal concentrate;NUXE;super serum 10 - the universal concentrate;Face Care;Face Care : Anti-Aging;non
NUXEhuile prodigieuse - dry oil;NUXE;huile prodigieuse - dry oil;Body Care;Body Care : Body Moisturizer;non
CAUDALIEgentle buffing cream;CAUDALIE;gentle buffing cream;Body Care;Body Care : Scrubs;non
ADERMAepitheliale ultra repair - ha plus repairing cream;ADERMA;epitheliale ultra repair - ha plus repairing cream;Healing Care;Healing Care : Skin Repair;oui
KLORANEquinine & edelweiss - strengthening shampoo;KLORANE;quinine & edelweiss - strengthening shampoo;Hair Care;Hair Care : Anti Hair Loss;oui
L'ORÉAL PARISage perfect - duo serum;L'ORÉAL PARIS;age perfect - duo serum;Face Care;Face Care : Anti-Aging;non
SOL DE JANEIROdelicia drench - set;SOL DE JANEIRO;delicia drench - set;Other;Other : Fragrances;non
SOL DE JANEIROrio radiance - perfume mist;SOL DE JANEIRO;rio radiance - perfume mist;Other;Other : Fragrances;non
CAUDALIEresveratrol lift - lightweight firming cashmere cream;CAUDALIE;resveratrol lift - lightweight firming cashmere cream;Face Care;Face Care : Anti-Aging;non
SOL DE JANEIRObeija flor - elasti-cream;SOL DE JANEIRO;beija flor - elasti-cream;Body Care;Body Care : Firming care;non
CAUDALIEvinotherapist - foot beauty cream;CAUDALIE;vinotherapist - foot beauty cream;Other;Other : Foot Care;non
KERASTASEchronologiste - masque intense régénérant;KERASTASE;chronologiste - masque intense régénérant;Hair Care;Hair Care : Damaged Hair;non
